method,function,iterations,interval,root,comp_time
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.000396728515625
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0006194114685058594
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.00043845176696777344
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0007221698760986328
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0006270408630371094
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.00041294097900390625
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0003712177276611328
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0004444122314453125
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0005805492401123047
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0004401206970214844
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0003669261932373047
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0005624294281005859
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0003781318664550781
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0005140304565429688
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0004131793975830078
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.00039267539978027344
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0005083084106445312
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0004189014434814453
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0004296302795410156
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0005922317504882812
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.00042748451232910156
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0004515647888183594
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0004992485046386719
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.00047469139099121094
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0008132457733154297
Secant,"""sin(x) + cos(x) + 1""",6,"[1.1, 4.0]",3.1415927793060967,0.0004894733428955078
Newton Raphson,"""sin(x) + cos(x) + 1""",8,"[1.0, 4.0]",3.1415926535717373,6.516772270202637
Bisection,"""sin(x) + cos(x) + 1""",21,"[1.0, 4.0]",3.141592264175415,0.0008122920989990234
